EPOCH = 001, G_Loss: 0.59357548, D_Loss: 0.44298989, ACC: 72.722994, TPR: 0.000000, FPR: 0.000000
EPOCH = 002, G_Loss: 0.59141648, D_Loss: 0.35785577, ACC: 72.722994, TPR: 0.000000, FPR: 0.000000
EPOCH = 003, G_Loss: 0.57945544, D_Loss: 0.29162881, ACC: 72.722994, TPR: 0.000000, FPR: 0.000000
EPOCH = 004, G_Loss: 0.58089828, D_Loss: 0.21439572, ACC: 72.722994, TPR: 0.000000, FPR: 0.000000
EPOCH = 005, G_Loss: 0.59537107, D_Loss: 0.15376917, ACC: 72.770064, TPR: 0.172563, FPR: 0.000000
EPOCH = 006, G_Loss: 0.58680147, D_Loss: 0.10993884, ACC: 73.028948, TPR: 1.121657, FPR: 0.000000
EPOCH = 007, G_Loss: 0.59045178, D_Loss: 0.08228036, ACC: 73.523182, TPR: 2.933563, FPR: 0.000000
EPOCH = 008, G_Loss: 0.58230048, D_Loss: 0.05865796, ACC: 74.582255, TPR: 6.816221, FPR: 0.000000
EPOCH = 009, G_Loss: 0.58951235, D_Loss: 0.04560316, ACC: 75.500118, TPR: 10.181191, FPR: 0.000000
EPOCH = 010, G_Loss: 0.59806055, D_Loss: 0.03974468, ACC: 76.912215, TPR: 15.358067, FPR: 0.000000
EPOCH = 011, G_Loss: 0.58974111, D_Loss: 0.03177970, ACC: 77.547658, TPR: 17.687662, FPR: 0.000000
EPOCH = 012, G_Loss: 0.60084814, D_Loss: 0.02615286, ACC: 80.089433, TPR: 27.006039, FPR: 0.000000
EPOCH = 013, G_Loss: 0.57815164, D_Loss: 0.02162499, ACC: 79.218640, TPR: 23.813632, FPR: 0.000000
EPOCH = 014, G_Loss: 0.56986618, D_Loss: 0.02094983, ACC: 85.361261, TPR: 46.333045, FPR: 0.000000
EPOCH = 015, G_Loss: 0.58263457, D_Loss: 0.01863164, ACC: 83.219581, TPR: 38.481449, FPR: 0.000000
