EPOCH = 001, G_Loss: 0.72553110, D_Loss: 0.65336871, ACC: 78.677336, TPR: 21.829163, FPR: 0.000000
EPOCH = 002, G_Loss: 0.70790613, D_Loss: 0.57282954, ACC: 72.722994, TPR: 0.000000, FPR: 0.000000
EPOCH = 003, G_Loss: 0.70334077, D_Loss: 0.57024986, ACC: 73.123088, TPR: 1.466782, FPR: 0.000000
EPOCH = 004, G_Loss: 0.72241211, D_Loss: 0.55470669, ACC: 78.230172, TPR: 20.189819, FPR: 0.000000
EPOCH = 005, G_Loss: 0.70513290, D_Loss: 0.56528652, ACC: 86.773358, TPR: 53.321829, FPR: 0.679612
EPOCH = 006, G_Loss: 0.71683383, D_Loss: 0.54371458, ACC: 85.314192, TPR: 48.490077, FPR: 0.873786
EPOCH = 007, G_Loss: 0.70934904, D_Loss: 0.52760750, ACC: 87.808896, TPR: 65.487489, FPR: 3.818770
EPOCH = 008, G_Loss: 0.72469181, D_Loss: 0.53320789, ACC: 85.431866, TPR: 47.540983, FPR: 0.355987
EPOCH = 009, G_Loss: 0.74785751, D_Loss: 0.49452639, ACC: 77.288774, TPR: 39.257981, FPR: 8.446602
EPOCH = 010, G_Loss: 0.68509918, D_Loss: 0.59193945, ACC: 74.464580, TPR: 66.522864, FPR: 22.556634
EPOCH = 011, G_Loss: 0.68028122, D_Loss: 0.58907378, ACC: 75.147093, TPR: 69.542709, FPR: 22.750809
EPOCH = 012, G_Loss: 0.70187199, D_Loss: 0.58311069, ACC: 72.934808, TPR: 72.735116, FPR: 26.990291
EPOCH = 013, G_Loss: 0.69520694, D_Loss: 0.55534816, ACC: 71.805131, TPR: 76.272648, FPR: 29.870550
EPOCH = 014, G_Loss: 0.71846575, D_Loss: 0.62684679, ACC: 69.286891, TPR: 78.429680, FPR: 34.142395
EPOCH = 015, G_Loss: 0.69279772, D_Loss: 0.62050289, ACC: 60.320075, TPR: 65.660051, FPR: 41.682848
