EPOCH = 001, G_Loss: 0.64806503, D_Loss: 0.47859633, ACC: 72.722994, TPR: 0.000000, FPR: 0.000000
EPOCH = 002, G_Loss: 0.61585599, D_Loss: 0.37791309, ACC: 72.722994, TPR: 0.000000, FPR: 0.000000
EPOCH = 003, G_Loss: 0.59254229, D_Loss: 0.30125946, ACC: 72.722994, TPR: 0.000000, FPR: 0.000000
EPOCH = 004, G_Loss: 0.57429332, D_Loss: 0.22782539, ACC: 72.746529, TPR: 0.086281, FPR: 0.000000
EPOCH = 005, G_Loss: 0.57489234, D_Loss: 0.20124683, ACC: 72.722994, TPR: 0.000000, FPR: 0.000000
EPOCH = 006, G_Loss: 0.59685338, D_Loss: 0.18335362, ACC: 77.171099, TPR: 16.307161, FPR: 0.000000
EPOCH = 007, G_Loss: 0.55835432, D_Loss: 0.17936441, ACC: 91.480348, TPR: 68.766177, FPR: 0.000000
EPOCH = 008, G_Loss: 0.56411088, D_Loss: 0.18477486, ACC: 97.387621, TPR: 90.422777, FPR: 0.000000
EPOCH = 009, G_Loss: 0.58175814, D_Loss: 0.18776159, ACC: 99.835255, TPR: 99.396030, FPR: 0.000000
EPOCH = 010, G_Loss: 0.57014328, D_Loss: 0.16151720, ACC: 99.717581, TPR: 98.964624, FPR: 0.000000
EPOCH = 011, G_Loss: 0.58216906, D_Loss: 0.20355973, ACC: 99.835255, TPR: 99.396030, FPR: 0.000000
EPOCH = 012, G_Loss: 0.57282251, D_Loss: 0.26027524, ACC: 99.811720, TPR: 99.396030, FPR: 0.032362
EPOCH = 013, G_Loss: 0.56242281, D_Loss: 0.28068745, ACC: 99.505766, TPR: 99.223468, FPR: 0.388350
EPOCH = 014, G_Loss: 0.58269793, D_Loss: 0.34733790, ACC: 96.493293, TPR: 99.223468, FPR: 4.530744
EPOCH = 015, G_Loss: 0.57225704, D_Loss: 0.53170741, ACC: 81.595670, TPR: 99.223468, FPR: 25.016181
