EPOCH = 001, G_Loss: 0.62664491, D_Loss: 0.42280447, ACC: 72.978750, TPR: 1.058932, FPR: 0.000000
EPOCH = 002, G_Loss: 0.62385118, D_Loss: 0.28698277, ACC: 75.870741, TPR: 11.648250, FPR: 0.000000
EPOCH = 003, G_Loss: 0.58069134, D_Loss: 0.16101716, ACC: 79.944675, TPR: 26.657458, FPR: 0.034596
EPOCH = 004, G_Loss: 0.59765989, D_Loss: 0.07353107, ACC: 87.841066, TPR: 55.709024, FPR: 0.086490
EPOCH = 005, G_Loss: 0.59234095, D_Loss: 0.05720840, ACC: 90.494153, TPR: 65.239410, FPR: 0.017298
EPOCH = 006, G_Loss: 0.59419006, D_Loss: 0.04111311, ACC: 92.342512, TPR: 72.099447, FPR: 0.051894
EPOCH = 007, G_Loss: 0.56942135, D_Loss: 0.03868906, ACC: 91.688671, TPR: 69.613259, FPR: 0.017298
EPOCH = 008, G_Loss: 0.55337191, D_Loss: 0.02926033, ACC: 91.147994, TPR: 67.679558, FPR: 0.034596
EPOCH = 009, G_Loss: 0.56430095, D_Loss: 0.02464788, ACC: 91.889853, TPR: 70.349908, FPR: 0.017298
EPOCH = 010, G_Loss: 0.59208494, D_Loss: 0.01957238, ACC: 94.429775, TPR: 80.018416, FPR: 0.155682
EPOCH = 011, G_Loss: 0.57421356, D_Loss: 0.01674625, ACC: 94.216019, TPR: 79.051565, FPR: 0.086490
EPOCH = 012, G_Loss: 0.57657558, D_Loss: 0.02468392, ACC: 95.284798, TPR: 83.471454, FPR: 0.276769
EPOCH = 013, G_Loss: 0.57328320, D_Loss: 0.03206275, ACC: 94.492644, TPR: 80.202578, FPR: 0.138384
EPOCH = 014, G_Loss: 0.57114190, D_Loss: 0.02171681, ACC: 95.561423, TPR: 84.438305, FPR: 0.259471
EPOCH = 015, G_Loss: 0.59856009, D_Loss: 0.04379486, ACC: 94.895008, TPR: 82.136280, FPR: 0.311365
