EPOCH = 001, G_Loss: 0.66769540, D_Loss: 0.61174250, ACC: 89.626556, TPR: 66.528545, FPR: 1.695208
EPOCH = 002, G_Loss: 0.63113445, D_Loss: 0.62686861, ACC: 92.568842, TPR: 95.580110, FPR: 8.562532
EPOCH = 003, G_Loss: 0.60191292, D_Loss: 0.62513113, ACC: 94.442349, TPR: 97.605893, FPR: 6.746238
EPOCH = 004, G_Loss: 0.60758400, D_Loss: 0.61664701, ACC: 81.176914, TPR: 99.815837, FPR: 25.825982
EPOCH = 005, G_Loss: 0.60208797, D_Loss: 0.57214874, ACC: 79.869232, TPR: 99.769797, FPR: 27.607680
EPOCH = 006, G_Loss: 0.56303161, D_Loss: 0.57935059, ACC: 83.100717, TPR: 99.723756, FPR: 23.144785
EPOCH = 007, G_Loss: 0.57232827, D_Loss: 0.61084753, ACC: 77.190997, TPR: 99.907919, FPR: 31.344058
EPOCH = 008, G_Loss: 0.53266978, D_Loss: 0.68527645, ACC: 71.997988, TPR: 99.907919, FPR: 38.488151
EPOCH = 009, G_Loss: 0.56641650, D_Loss: 0.59877956, ACC: 72.991324, TPR: 99.723756, FPR: 37.052413
EPOCH = 010, G_Loss: 0.54880381, D_Loss: 0.60770380, ACC: 62.944801, TPR: 99.723756, FPR: 50.873551
EPOCH = 011, G_Loss: 0.56579244, D_Loss: 0.63442910, ACC: 71.230982, TPR: 96.593001, FPR: 38.297872
EPOCH = 012, G_Loss: 0.56406105, D_Loss: 0.62466127, ACC: 62.542437, TPR: 75.184162, FPR: 42.207231
EPOCH = 013, G_Loss: 0.55732012, D_Loss: 0.65105689, ACC: 59.851628, TPR: 26.657458, FPR: 27.676872
EPOCH = 014, G_Loss: 0.56202877, D_Loss: 0.60210741, ACC: 54.369420, TPR: 19.244935, FPR: 32.433835
EPOCH = 015, G_Loss: 0.60360074, D_Loss: 0.69475925, ACC: 52.785113, TPR: 10.128913, FPR: 31.188376
