EPOCH = 001, G_Loss: 0.60801053, D_Loss: 0.41694415, ACC: 72.727273, TPR: 0.138122, FPR: 0.000000
EPOCH = 002, G_Loss: 0.57836396, D_Loss: 0.29688925, ACC: 78.398089, TPR: 20.902394, FPR: 0.000000
EPOCH = 003, G_Loss: 0.61540586, D_Loss: 0.18446277, ACC: 81.088897, TPR: 30.755064, FPR: 0.000000
EPOCH = 004, G_Loss: 0.59677672, D_Loss: 0.10748093, ACC: 84.949076, TPR: 44.935543, FPR: 0.017298
EPOCH = 005, G_Loss: 0.58592921, D_Loss: 0.07105888, ACC: 92.028165, TPR: 70.810313, FPR: 0.000000
EPOCH = 006, G_Loss: 0.60154885, D_Loss: 0.04212987, ACC: 93.461587, TPR: 76.058932, FPR: 0.000000
EPOCH = 007, G_Loss: 0.55834109, D_Loss: 0.03284958, ACC: 95.410537, TPR: 83.287292, FPR: 0.034596
EPOCH = 008, G_Loss: 0.59466100, D_Loss: 0.04114027, ACC: 94.970451, TPR: 81.629834, FPR: 0.017298
EPOCH = 009, G_Loss: 0.58368415, D_Loss: 0.02778532, ACC: 95.888344, TPR: 85.036832, FPR: 0.034596
EPOCH = 010, G_Loss: 0.60638219, D_Loss: 0.01718185, ACC: 96.592481, TPR: 87.845303, FPR: 0.121086
EPOCH = 011, G_Loss: 0.57392985, D_Loss: 0.02853794, ACC: 97.082862, TPR: 89.594843, FPR: 0.103788
EPOCH = 012, G_Loss: 0.58343971, D_Loss: 0.02444102, ACC: 97.019992, TPR: 89.456722, FPR: 0.138384
EPOCH = 013, G_Loss: 0.55835170, D_Loss: 0.01944363, ACC: 97.196027, TPR: 90.147329, FPR: 0.155682
EPOCH = 014, G_Loss: 0.59289551, D_Loss: 0.02883577, ACC: 97.346913, TPR: 90.930018, FPR: 0.242173
EPOCH = 015, G_Loss: 0.56437498, D_Loss: 0.01708722, ACC: 97.460078, TPR: 91.850828, FPR: 0.432451
