EPOCH = 001, G_Loss: 0.85530019, D_Loss: 0.42038357, ACC: 66.666667, TPR: 0.000000, FPR: 0.000000
EPOCH = 002, G_Loss: 0.85249484, D_Loss: 0.35208052, ACC: 74.766667, TPR: 24.300000, FPR: 0.000000
EPOCH = 003, G_Loss: 0.84997338, D_Loss: 0.30560949, ACC: 88.400000, TPR: 65.199999, FPR: 0.000000
EPOCH = 004, G_Loss: 0.84732962, D_Loss: 0.25595117, ACC: 95.933333, TPR: 87.799999, FPR: 0.000000
EPOCH = 005, G_Loss: 0.84229583, D_Loss: 0.24013828, ACC: 97.733333, TPR: 93.199999, FPR: 0.000000
EPOCH = 006, G_Loss: 0.85148877, D_Loss: 0.22381443, ACC: 96.966667, TPR: 90.899999, FPR: 0.000000
EPOCH = 007, G_Loss: 0.85646778, D_Loss: 0.20672177, ACC: 98.300000, TPR: 94.899999, FPR: 0.000000
EPOCH = 008, G_Loss: 0.85034662, D_Loss: 0.19392590, ACC: 99.366667, TPR: 98.099999, FPR: 0.000000
EPOCH = 009, G_Loss: 0.85512984, D_Loss: 0.17670396, ACC: 99.600000, TPR: 98.799999, FPR: 0.000000
EPOCH = 010, G_Loss: 0.84685332, D_Loss: 0.14768957, ACC: 99.666667, TPR: 98.999999, FPR: 0.000000
EPOCH = 011, G_Loss: 0.85407287, D_Loss: 0.13452215, ACC: 99.833333, TPR: 99.499999, FPR: 0.000000
EPOCH = 012, G_Loss: 0.85608202, D_Loss: 0.13453786, ACC: 99.833333, TPR: 99.499999, FPR: 0.000000
EPOCH = 013, G_Loss: 0.85810864, D_Loss: 0.10709780, ACC: 99.866667, TPR: 99.599999, FPR: 0.000000
EPOCH = 014, G_Loss: 0.85573065, D_Loss: 0.08432395, ACC: 99.900000, TPR: 99.699999, FPR: 0.000000
EPOCH = 015, G_Loss: 0.85305959, D_Loss: 0.08363863, ACC: 99.900000, TPR: 99.699999, FPR: 0.000000
