EPOCH = 001, G_Loss: 0.85496420, D_Loss: 0.74455065, ACC: 48.966667, TPR: 13.500000, FPR: 33.300000
EPOCH = 002, G_Loss: 0.85543901, D_Loss: 0.53469539, ACC: 72.000000, TPR: 16.000000, FPR: 0.000000
EPOCH = 003, G_Loss: 0.84614992, D_Loss: 0.53267705, ACC: 90.600000, TPR: 71.799999, FPR: 0.000000
EPOCH = 004, G_Loss: 0.84936386, D_Loss: 0.50070769, ACC: 85.900000, TPR: 57.699999, FPR: 0.000000
EPOCH = 005, G_Loss: 0.85434586, D_Loss: 0.48055154, ACC: 91.900000, TPR: 75.699999, FPR: 0.000000
EPOCH = 006, G_Loss: 0.84240198, D_Loss: 0.45999569, ACC: 99.466667, TPR: 98.399999, FPR: 0.000000
EPOCH = 007, G_Loss: 0.84952635, D_Loss: 0.45882013, ACC: 99.933333, TPR: 99.799999, FPR: 0.000000
EPOCH = 008, G_Loss: 0.84956753, D_Loss: 0.44166556, ACC: 100.000000, TPR: 99.999999, FPR: 0.000000
EPOCH = 009, G_Loss: 0.85286576, D_Loss: 0.41468388, ACC: 100.000000, TPR: 99.999999, FPR: 0.000000
EPOCH = 010, G_Loss: 0.84732842, D_Loss: 0.41103357, ACC: 100.000000, TPR: 99.999999, FPR: 0.000000
EPOCH = 011, G_Loss: 0.85031968, D_Loss: 0.40877903, ACC: 100.000000, TPR: 99.999999, FPR: 0.000000
EPOCH = 012, G_Loss: 0.84905493, D_Loss: 0.38869819, ACC: 100.000000, TPR: 99.999999, FPR: 0.000000
EPOCH = 013, G_Loss: 0.85271442, D_Loss: 0.37455937, ACC: 100.000000, TPR: 99.999999, FPR: 0.000000
EPOCH = 014, G_Loss: 0.84310377, D_Loss: 0.39490402, ACC: 100.000000, TPR: 99.999999, FPR: 0.000000
EPOCH = 015, G_Loss: 0.85391283, D_Loss: 0.38643762, ACC: 100.000000, TPR: 99.999999, FPR: 0.000000
