EPOCH = 001, G_Loss: 0.85128677, D_Loss: 0.45113319, ACC: 67.400000, TPR: 2.200000, FPR: 0.000000
EPOCH = 002, G_Loss: 0.85316122, D_Loss: 0.40124276, ACC: 77.266667, TPR: 31.800000, FPR: 0.000000
EPOCH = 003, G_Loss: 0.85001475, D_Loss: 0.34582353, ACC: 89.533333, TPR: 68.599999, FPR: 0.000000
EPOCH = 004, G_Loss: 0.85461676, D_Loss: 0.30375683, ACC: 96.166667, TPR: 88.499999, FPR: 0.000000
EPOCH = 005, G_Loss: 0.85056269, D_Loss: 0.26042715, ACC: 97.433333, TPR: 92.299999, FPR: 0.000000
EPOCH = 006, G_Loss: 0.85224706, D_Loss: 0.23176819, ACC: 98.466667, TPR: 95.399999, FPR: 0.000000
EPOCH = 007, G_Loss: 0.84954441, D_Loss: 0.22388297, ACC: 99.233333, TPR: 97.699999, FPR: 0.000000
EPOCH = 008, G_Loss: 0.85520065, D_Loss: 0.21240374, ACC: 98.933333, TPR: 96.799999, FPR: 0.000000
EPOCH = 009, G_Loss: 0.85658586, D_Loss: 0.19336756, ACC: 99.600000, TPR: 98.799999, FPR: 0.000000
EPOCH = 010, G_Loss: 0.84798032, D_Loss: 0.18905453, ACC: 99.633333, TPR: 98.899999, FPR: 0.000000
EPOCH = 011, G_Loss: 0.87296450, D_Loss: 0.15153721, ACC: 99.533333, TPR: 98.599999, FPR: 0.000000
EPOCH = 012, G_Loss: 0.80558515, D_Loss: 0.13586952, ACC: 99.800000, TPR: 99.399999, FPR: 0.000000
EPOCH = 013, G_Loss: 0.79992759, D_Loss: 0.09653873, ACC: 100.000000, TPR: 99.999999, FPR: 0.000000
EPOCH = 014, G_Loss: 0.80311280, D_Loss: 0.09243671, ACC: 100.000000, TPR: 99.999999, FPR: 0.000000
EPOCH = 015, G_Loss: 0.80074000, D_Loss: 0.07949337, ACC: 100.000000, TPR: 99.999999, FPR: 0.000000
